NAME,SKU,CATEGORY,PRICE,BRAND,DESCRIPTION
Product KB2911002-GM,KB2911002-GM,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"Per Piece ` 3,",075,FAUCET,3075,Price,Extracted from Price List 2026.pdf
"White Per Piece ` 1,",900,SANITARYWARE,1900,Price,Extracted from Price List 2026.pdf
Product KB2911016-GM,KB2911016-GM,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911005-GM,KB2911005-GM,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911004-GM,KB2911004-GM,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911003-GM,KB2911003-GM,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911023-MBK,KB2911023-MBK,TALL PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911001-MBK,KB2911001-MBK,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911002-MBK,KB2911002-MBK,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911016-MBK,KB2911016-MBK,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911005-MBK,KB2911005-MBK,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911004-MBK,KB2911004-MBK,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2911003-MBK,KB2911003-MBK,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
-MBRG,KB2411010-ND,ALANA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
-MBRG,KB2411011-ND,WITHOUT POP-UP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411023-CRG,KB2411023-CRG,TALL PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411001-CRG,KB2411001-CRG,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411002-CRG,KB2411002-CRG,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"` 7,",500,SANITARYWARE,7500,Price,Extracted from Price List 2026.pdf
Gold 20  300,400,SS FLANGES,300,Viking_priced_catalogue_2026.1.pdf,Extracted from Viking_priced_catalogue_2026.1.pdf
P-Trap:  mm Rough-in,225,SANITARYWARE,0,Price,Extracted from Price List 2026.pdf
Product KB2411037-CRG,KB2411037-CRG,ALANA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411016-CRG,KB2411016-CRG,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411004-CRG,KB2411004-CRG,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411017-CRG,KB2411017-CRG,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411005-CRG,KB2411005-CRG,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"` 2,",950,WITH PEDESTAL,2950,Price,Extracted from Price List 2026.pdf
"Per Piece ` 1,",575,ACCESSORIES,1575,Price,Extracted from Price List 2026.pdf
Product KB2411032-CRG,KB2411032-CRG,ALANA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411033-CRG,KB2411033-CRG,ALANA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
KBPCBS001 	KB3WHTCB003 	KB2WHTCB002,KB111061,FAUCET,0,Price,Extracted from Price List 2026.pdf
Product KB2411003-CRG,KB2411003-CRG,CSC TRIMS WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"` 4,",750,SANITARYWARE,4750,Price,Extracted from Price List 2026.pdf
Product KB2411023-MBRG,KB2411023-MBRG,TALL PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411001-MBRG,KB2411001-MBRG,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411002-MBRG,KB2411002-MBRG,CONCEALED WALL MOUNTED,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Per Piece `  Angle Valve with Flange,875,SHOWER,0,Price,Extracted from Price List 2026.pdf
Product KB2411037-MBRG,KB2411037-MBRG,ALANA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411016-MBRG,KB2411016-MBRG,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411004-MBRG,KB2411004-MBRG,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411017-MBRG,KB2411017-MBRG,BATH SPOUT WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411005-MBRG,KB2411005-MBRG,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411032-MBRG,KB2411032-MBRG,ALANA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411033-MBRG,KB2411033-MBRG,ALANA,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2411003-MBRG,KB2411003-MBRG,CSC TRIMS WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"Per Piece ` 7,",975,ACCESSORIES,7975,Price,Extracted from Price List 2026.pdf
-GM,KB2311011-ND,WITHOUT POP-UP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
-RG,KB2311010-ND,WITHOUT POP-UP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2311002-CP,KB2311002-CP,ARIUS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2311001-CP,KB2311001-CP,TALL PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2311023-CP,KB2311023-CP,PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
MOUNTED BASIN MIXER TRIMS,WALL,CONCEALED SINGLE LEVER,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"Per Piece ` 6,",375,ACCESSORIES,6375,Price,Extracted from Price List 2026.pdf
Product KB2311036-CP,KB2311036-CP,CONCEALED SINGLE LEVER,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB2311037-CP,KB2311037-CP,BATH & SHOWER MIXER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
